Is Registered,Accepts Card,encoded__Miscellaneous Stores,Transaction Fees per Unit Turnover_Scaled,Current pricing,Average Transaction Amount Scaled,Total Annual Transaction Fees Scaled,Visa Debit Scaled,Visa Credit Scaled,Annual Card Turnover Scaled,Visa Business Debit Scaled
0,1,True,0.15288267875125888,Neutral,0.0008861756597085466,0.0031120918553330665,0.11393144637756426,0.07173420588975585,0.0017541232686289305,0.06766917293233082
0,1,False,0.45436807653575034,Non-Competitive,0.09836549822764869,0.0006868703043183136,0.2593482212412361,0.019009895743637976,0.000175175484695303,0.003127287244660324
0,1,True,0.05896651150890107,Competitive,0.030129972430090586,0.001163043854463376,0.029398853210425874,0.009687756491409115,0.0010523686979917626,0.005180646407172798
0,1,False,0.027840718361866384,Competitive,0.002855454903505317,0.012409429578726193,0.023327274301045198,0.02439713681384211,0.014034828254779367,0.022312418213673565
0,1,True,0.13359588548410306,Neutral,0.0005907837731390312,0.011487781749969799,0.11546166116407429,0.09853162985490217,0.00701728254840769,0.09538701367831526
1,1,True,0.37569234642497484,Non-Competitive,0.0013784954706577393,0.005895004105119848,0.2155284341729421,0.015035701511515226,0.0017541232686289305,0.0021292168474249785
0,0,True,0.21834088620342396,Neutral,0.007778653012997242,0.0007851369798051349,0.12788886003635425,0.007087313047279662,0.000350614127354595,0.00013307605296426902
0,0,False,0.05608006042296072,Competitive,0.49222134698700276,0.0038070337843758664,0.02642170864710465,0.006650151681743212,0.00350850969522185,0.0021292168474283057
0,0,False,0.45436807653575034,Non-Competitive,0.0008861756597085466,0.0003429369401144386,0.2593482212412361,0.019009895743637976,8.745616336565703e-05,0.003127287244660324
0,1,True,0.00019105693039331295,Competitive,0.24389523434423,0.02411813475880475,0.00019706001753116292,0.00020106193848278345,0.0350874653738944,0.00020197701178055775
0,1,False,0.022595669687814707,Competitive,0.0038400945254037015,0.01782850917623944,0.017917424045702415,0.018877422602564017,0.021052373961151043,0.016767582673497906
0,0,False,0.052240684793554884,Competitive,0.019594328475777866,0.005567186475695812,0.025837444819527405,0.010306410375296409,0.00526289612181477,0.008117639230820414
1,1,True,0.21834088620342396,Neutral,0.011717211500590784,0.0007851369798051349,0.12788886003635425,0.007087313047279662,0.000350614127354595,0.00013307605296426902
1,1,False,0.09094914400805647,Competitive,0.06144151240645923,0.003157373139397394,0.050051934562451314,0.006557420482997071,0.0023681585179364524,0.0021957548739104404
0,0,True,0.18246475327291045,Neutral,0.0038400945254037015,0.0006955177717611539,0.10906258114775384,0.020467100295415104,0.000350614127354595,0.023155233215782823
1,1,True,0.1103977844914401,Neutral,0.004824734147302088,0.002064962161345497,0.07095559594910414,0.03861592062209387,0.0014032459833103466,0.038192827200745225
0,0,True,0.18524154374740842,Neutral,0.0032493107522646707,0.004395570245044469,0.11192661951822903,0.023389301936677834,0.0021927198752771603,0.02609073438411072
0,1,False,0.10687883365375812,Neutral,0.0009846396218983853,0.009264514807558142,0.08524350227803816,0.0641230217846053,0.006403247299100167,0.06102141919561514
0,0,False,0.10498489425981876,Neutral,0.24606144151240644,0.0012564239554399305,0.058036873539340436,0.005762581636573184,0.0008769300553324709,0.0017965267150176329
1,1,True,0.3756923464249748,Non-Competitive,0.1968294604174872,2.8483578556610052e-05,0.2155284341729421,0.015035701511515226,8.50877416897566e-06,0.0021292168474249785
1,0,True,0.45436807653575034,Non-Competitive,0.0008861756597085466,0.0013747370327260636,0.2593482212412361,0.019009895743637976,0.000350614127354595,0.003127287244660324
0,0,True,0.0437594410876133,Competitive,0.7876132335565184,0.0437522408364178,0.022802518826278886,0.003990753374753268,0.043859397506858994,0.0004158626655133414
0,0,False,0.04383811681772408,Competitive,0.39375738479716427,0.00875456436178635,0.02288366658010907,0.004073549087922424,0.008771668975000608,0.0004990351986160096
1,0,False,0.37569234642497484,Non-Competitive,0.09836549822764869,0.0005886036288314921,0.2155284341729421,0.015035701511515226,0.000175175484695303,0.0021292168474249785
0,0,False,0.21834088620342396,Neutral,0.49222134698700276,0.0019643370856469917,0.12788886003635425,0.007087313047279662,0.0008769300553324709,0.00013307605296426902
0,0,False,0.07899043303121854,Competitive,0.002855454903505317,0.005474422734036253,0.05342768112178656,0.03845695285280909,0.00438570290851831,0.03639630048572759
1,1,False,0.09518714333669016,Competitive,0.002855454903505317,0.0035877025646892814,0.06188868692114387,0.026781653353113777,0.00263131648192539,0.02311087453145918
1,1,True,0.18382846592816382,Neutral,0.0013784954706577393,0.0015738253172623633,0.14669349952393212,0.11589191957997072,0.0007892107340028248,0.11582052476323441
1,0,False,0.21834088620342396,Neutral,0.0013784954706577393,0.0004706836182473064,0.12788886003635425,0.007087313047279662,0.00021026321322716138,0.00013307605296426902
1,1,False,0.22148791540785495,Non-Competitive,9.846396218983852e-05,0.019054877286314966,0.12613606855362247,0.006928345277991571,0.008420791689682024,0.00408543482600306
0,1,False,0.09057150050352471,Competitive,0.09836549822764869,0.004668635995044319,0.04966242534406648,0.0061600010597851265,0.00350850969522185,0.0017965267150176329
0,1,False,0.05049932863376973,Competitive,0.07374950768018905,0.005501937403172562,0.027092530078765262,0.004791111935386224,0.00526289612181477,0.0014194778982833194
0,1,False,0.06468575482925938,Competitive,0.00531705395825128,0.011062258968918865,0.03867354406175344,0.02340318682205214,0.009648862188297068,0.021274021739786413
1,0,False,0.37569234642497484,Non-Competitive,0.000393855848759354,0.0005886036288314921,0.2155284341729421,0.015035701511515226,0.000175175484695303,0.0021292168474249785
1,0,False,0.45436807653575034,Non-Competitive,0.000393855848759354,0.0003429369401144386,0.2593482212412361,0.019009895743637976,8.745616336565703e-05,0.003127287244660324
0,1,True,0.08207452165156094,Competitive,0.04913351713272942,0.0017819541359434515,0.041742404570238256,0.008809463881198088,0.0014032459833103466,0.008250715283784684
0,0,True,0.21834088620342396,Neutral,0.009747932256794014,0.00392967059538342,0.12788886003635425,0.007087313047279662,0.0017541232686289305,0.00013307605296426902
0,1,True,0.43548590130916415,Non-Competitive,0.0018708152816069316,0.013284658101728816,0.24883147234484554,0.01805608912792931,0.00350850969522185,0.002887750349324639
1,0,False,0.37569234642497484,Non-Competitive,0.0008861756597085466,0.0016498837240891632,0.2155284341729421,0.015035701511515226,0.0004909650414820285,0.0021292168474249785
0,1,False,0.13714753272910374,Neutral,0.0006892477353288697,0.007290390897032713,0.11263308231628151,0.08670367083073906,0.00438570290851831,0.08390445139397165
1,0,True,0.21834088620342396,Neutral,0.0008861756597085466,0.00392967059538342,0.12788886003635425,0.007087313047279662,0.0017541232686289305,0.00013307605296426902
0,1,False,0.21834088620342396,Neutral,0.0008861756597085466,0.0007851369798051349,0.12788886003635425,0.007087313047279662,0.000350614127354595,0.00013307605296426902
0,1,True,0.06819612286002015,Competitive,0.007778653012997242,0.015003027802631767,0.04651389249545573,0.02428895041530329,0.012806757756164322,0.020926209328631314
0,1,True,0.43548590130916415,Non-Competitive,0.0018708152816069316,0.0006632863022014762,0.24883147234484554,0.01805608912792931,0.000175175484695303,0.002887750349324639
1,0,False,0.37569234642497484,Non-Competitive,0.004824734147302088,0.0014730037082128847,0.2155284341729421,0.015035701511515226,0.00043833344868424097,0.0021292168474249785
0,1,False,0.43548590130916415,Non-Competitive,0.00265852697912564,1.2289230436381886e-05,0.24883147234484554,0.01805608912792931,3.245614889196901e-06,0.002887750349324639
0,1,True,0.43548590130916415,Non-Competitive,0.004824734147302088,0.005313265386237865,0.24883147234484554,0.01805608912792931,0.0014032459833103466,0.002887750349324639
1,0,False,0.37569234642497484,Non-Competitive,0.0018708152816069316,0.0029470038405152057,0.2155284341729421,0.015035701511515226,0.0008769300553324709,0.0021292168474249785
